timestamp=2026-01-31T06:30:29.659653218Z
send_ack_total_ms=508164

=== Batch Performance ===
batch_1_range=1~500, elapsed_ms=84392, avg_ms_per_topic=168
batch_2_range=501~1000, elapsed_ms=86659, avg_ms_per_topic=173
batch_3_range=1001~1500, elapsed_ms=82037, avg_ms_per_topic=164
batch_4_range=1501~2000, elapsed_ms=88453, avg_ms_per_topic=176
batch_5_range=2001~2500, elapsed_ms=84505, avg_ms_per_topic=169
batch_6_range=2501~3000, elapsed_ms=87225, avg_ms_per_topic=174

=== Per Message Details ===
send_ack_ms_133=305, topic_create_ms=0
send_ack_ms_134=299, topic_create_ms=0
send_ack_ms_135=282, topic_create_ms=0
send_ack_ms_136=144, topic_create_ms=0
send_ack_ms_137=257, topic_create_ms=0
send_ack_ms_138=158, topic_create_ms=0
send_ack_ms_139=154, topic_create_ms=0
send_ack_ms_140=152, topic_create_ms=0
send_ack_ms_141=157, topic_create_ms=0
send_ack_ms_142=153, topic_create_ms=0
send_ack_ms_143=154, topic_create_ms=0
send_ack_ms_144=141, topic_create_ms=0
send_ack_ms_145=153, topic_create_ms=0
send_ack_ms_146=161, topic_create_ms=0
send_ack_ms_147=156, topic_create_ms=0
send_ack_ms_148=152, topic_create_ms=0
send_ack_ms_149=148, topic_create_ms=0
send_ack_ms_150=154, topic_create_ms=0
send_ack_ms_151=156, topic_create_ms=0
send_ack_ms_152=150, topic_create_ms=0
send_ack_ms_153=151, topic_create_ms=0
send_ack_ms_154=168, topic_create_ms=0
send_ack_ms_155=157, topic_create_ms=0
send_ack_ms_156=158, topic_create_ms=0
send_ack_ms_157=155, topic_create_ms=0
send_ack_ms_158=157, topic_create_ms=0
send_ack_ms_159=155, topic_create_ms=0
send_ack_ms_160=153, topic_create_ms=0
send_ack_ms_161=155, topic_create_ms=0
send_ack_ms_162=158, topic_create_ms=0
send_ack_ms_163=164, topic_create_ms=0
send_ack_ms_164=156, topic_create_ms=0
send_ack_ms_165=157, topic_create_ms=0
send_ack_ms_166=165, topic_create_ms=0
send_ack_ms_167=164, topic_create_ms=0
send_ack_ms_168=156, topic_create_ms=0
send_ack_ms_169=156, topic_create_ms=0
send_ack_ms_170=149, topic_create_ms=0
send_ack_ms_171=153, topic_create_ms=0
send_ack_ms_172=169, topic_create_ms=0
send_ack_ms_173=158, topic_create_ms=0
send_ack_ms_174=167, topic_create_ms=0
send_ack_ms_175=155, topic_create_ms=0
send_ack_ms_176=147, topic_create_ms=0
send_ack_ms_177=157, topic_create_ms=0
send_ack_ms_178=153, topic_create_ms=0
send_ack_ms_179=156, topic_create_ms=0
send_ack_ms_180=152, topic_create_ms=0
send_ack_ms_181=152, topic_create_ms=0
send_ack_ms_182=160, topic_create_ms=0
send_ack_ms_183=144, topic_create_ms=0
send_ack_ms_184=154, topic_create_ms=0
send_ack_ms_185=160, topic_create_ms=0
send_ack_ms_186=147, topic_create_ms=0
send_ack_ms_187=146, topic_create_ms=0
send_ack_ms_188=158, topic_create_ms=0
send_ack_ms_189=163, topic_create_ms=0
send_ack_ms_190=146, topic_create_ms=0
send_ack_ms_191=163, topic_create_ms=0
send_ack_ms_192=168, topic_create_ms=0
send_ack_ms_193=156, topic_create_ms=0
send_ack_ms_194=160, topic_create_ms=0
send_ack_ms_195=166, topic_create_ms=0
send_ack_ms_196=159, topic_create_ms=0
send_ack_ms_197=174, topic_create_ms=0
send_ack_ms_198=152, topic_create_ms=0
send_ack_ms_199=161, topic_create_ms=0
send_ack_ms_200=162, topic_create_ms=0
send_ack_ms_201=157, topic_create_ms=0
send_ack_ms_202=157, topic_create_ms=0
send_ack_ms_203=181, topic_create_ms=0
send_ack_ms_204=217, topic_create_ms=0
send_ack_ms_205=378, topic_create_ms=0
send_ack_ms_206=297, topic_create_ms=0
send_ack_ms_207=214, topic_create_ms=0
send_ack_ms_208=215, topic_create_ms=0
send_ack_ms_209=274, topic_create_ms=0
send_ack_ms_210=210, topic_create_ms=0
send_ack_ms_211=152, topic_create_ms=0
send_ack_ms_212=166, topic_create_ms=0
send_ack_ms_213=164, topic_create_ms=0
send_ack_ms_214=157, topic_create_ms=0
send_ack_ms_215=154, topic_create_ms=0
send_ack_ms_216=153, topic_create_ms=0
send_ack_ms_217=165, topic_create_ms=0
send_ack_ms_218=165, topic_create_ms=0
send_ack_ms_219=156, topic_create_ms=0
send_ack_ms_220=146, topic_create_ms=0
send_ack_ms_221=160, topic_create_ms=0
send_ack_ms_222=157, topic_create_ms=0
send_ack_ms_223=173, topic_create_ms=0
send_ack_ms_224=163, topic_create_ms=0
send_ack_ms_225=143, topic_create_ms=0
send_ack_ms_226=167, topic_create_ms=0
send_ack_ms_227=161, topic_create_ms=0
send_ack_ms_228=160, topic_create_ms=0
send_ack_ms_229=188, topic_create_ms=0
send_ack_ms_230=145, topic_create_ms=0
send_ack_ms_231=159, topic_create_ms=0
send_ack_ms_232=164, topic_create_ms=0
send_ack_ms_233=159, topic_create_ms=0
send_ack_ms_234=155, topic_create_ms=0
send_ack_ms_235=159, topic_create_ms=0
send_ack_ms_236=150, topic_create_ms=0
send_ack_ms_237=155, topic_create_ms=0
send_ack_ms_238=159, topic_create_ms=0
send_ack_ms_239=160, topic_create_ms=0
send_ack_ms_240=158, topic_create_ms=0
send_ack_ms_241=152, topic_create_ms=0
send_ack_ms_242=161, topic_create_ms=0
send_ack_ms_243=151, topic_create_ms=0
send_ack_ms_244=157, topic_create_ms=0
send_ack_ms_245=163, topic_create_ms=0
send_ack_ms_246=163, topic_create_ms=0
send_ack_ms_247=148, topic_create_ms=0
send_ack_ms_248=153, topic_create_ms=0
send_ack_ms_249=173, topic_create_ms=0
send_ack_ms_250=159, topic_create_ms=0
send_ack_ms_251=163, topic_create_ms=0
send_ack_ms_252=168, topic_create_ms=0
send_ack_ms_253=146, topic_create_ms=0
send_ack_ms_254=157, topic_create_ms=0
send_ack_ms_255=171, topic_create_ms=0
