timestamp=2026-01-31T06:36:35.051891637Z
send_ack_total_ms=213648

=== Batch Performance ===
batch_1_range=1~500, elapsed_ms=51388, avg_ms_per_topic=102
batch_2_range=501~1000, elapsed_ms=54950, avg_ms_per_topic=109
batch_3_range=1001~1500, elapsed_ms=49264, avg_ms_per_topic=98
batch_4_range=1501~2000, elapsed_ms=50232, avg_ms_per_topic=100
batch_5_range=2001~2500, elapsed_ms=48796, avg_ms_per_topic=97
batch_6_range=2501~3000, elapsed_ms=56556, avg_ms_per_topic=113

=== Per Message Details ===
send_ack_ms_133=34, topic_create_ms=29
send_ack_ms_134=36, topic_create_ms=28
send_ack_ms_135=37, topic_create_ms=28
send_ack_ms_136=34, topic_create_ms=27
send_ack_ms_137=35, topic_create_ms=28
send_ack_ms_138=101, topic_create_ms=30
send_ack_ms_139=94, topic_create_ms=27
send_ack_ms_140=32, topic_create_ms=28
send_ack_ms_141=31, topic_create_ms=27
send_ack_ms_142=30, topic_create_ms=28
send_ack_ms_143=32, topic_create_ms=28
send_ack_ms_144=52, topic_create_ms=28
send_ack_ms_145=34, topic_create_ms=29
send_ack_ms_146=31, topic_create_ms=27
send_ack_ms_147=32, topic_create_ms=27
send_ack_ms_148=34, topic_create_ms=28
send_ack_ms_149=35, topic_create_ms=29
send_ack_ms_150=36, topic_create_ms=27
send_ack_ms_151=34, topic_create_ms=26
send_ack_ms_152=42, topic_create_ms=32
send_ack_ms_153=42, topic_create_ms=29
send_ack_ms_154=34, topic_create_ms=23
send_ack_ms_155=32, topic_create_ms=28
send_ack_ms_156=32, topic_create_ms=28
send_ack_ms_157=32, topic_create_ms=27
send_ack_ms_158=33, topic_create_ms=28
send_ack_ms_159=36, topic_create_ms=27
send_ack_ms_160=34, topic_create_ms=28
send_ack_ms_161=36, topic_create_ms=27
send_ack_ms_162=35, topic_create_ms=16
send_ack_ms_163=35, topic_create_ms=28
send_ack_ms_164=35, topic_create_ms=28
send_ack_ms_165=37, topic_create_ms=27
send_ack_ms_166=36, topic_create_ms=28
send_ack_ms_167=37, topic_create_ms=27
send_ack_ms_168=37, topic_create_ms=29
send_ack_ms_169=40, topic_create_ms=31
send_ack_ms_170=42, topic_create_ms=29
send_ack_ms_171=1294, topic_create_ms=28
send_ack_ms_172=40, topic_create_ms=29
send_ack_ms_173=37, topic_create_ms=23
send_ack_ms_174=37, topic_create_ms=28
send_ack_ms_175=36, topic_create_ms=27
send_ack_ms_176=39, topic_create_ms=29
send_ack_ms_177=34, topic_create_ms=28
send_ack_ms_178=33, topic_create_ms=29
send_ack_ms_179=35, topic_create_ms=28
send_ack_ms_180=35, topic_create_ms=32
send_ack_ms_181=34, topic_create_ms=27
send_ack_ms_182=34, topic_create_ms=29
send_ack_ms_183=34, topic_create_ms=28
send_ack_ms_184=36, topic_create_ms=27
send_ack_ms_185=35, topic_create_ms=29
send_ack_ms_186=37, topic_create_ms=27
send_ack_ms_187=34, topic_create_ms=30
send_ack_ms_188=33, topic_create_ms=27
send_ack_ms_189=34, topic_create_ms=28
send_ack_ms_190=32, topic_create_ms=28
send_ack_ms_191=37, topic_create_ms=28
send_ack_ms_192=41, topic_create_ms=28
send_ack_ms_193=34, topic_create_ms=30
send_ack_ms_194=34, topic_create_ms=27
send_ack_ms_195=35, topic_create_ms=30
send_ack_ms_196=40, topic_create_ms=10
send_ack_ms_197=36, topic_create_ms=28
send_ack_ms_198=36, topic_create_ms=29
send_ack_ms_199=37, topic_create_ms=29
send_ack_ms_200=33, topic_create_ms=27
send_ack_ms_201=33, topic_create_ms=28
send_ack_ms_202=33, topic_create_ms=28
send_ack_ms_203=34, topic_create_ms=28
send_ack_ms_204=33, topic_create_ms=2
send_ack_ms_205=33, topic_create_ms=28
send_ack_ms_206=34, topic_create_ms=29
send_ack_ms_207=36, topic_create_ms=28
send_ack_ms_208=35, topic_create_ms=28
send_ack_ms_209=34, topic_create_ms=27
