timestamp=2026-01-31T06:21:33.681260220Z
send_ack_total_ms=520557

=== Batch Performance ===
batch_1_range=1~500, elapsed_ms=84962, avg_ms_per_topic=169
batch_2_range=501~1000, elapsed_ms=84795, avg_ms_per_topic=169
batch_3_range=1001~1500, elapsed_ms=86318, avg_ms_per_topic=172
batch_4_range=1501~2000, elapsed_ms=89074, avg_ms_per_topic=178
batch_5_range=2001~2500, elapsed_ms=87465, avg_ms_per_topic=174
batch_6_range=2501~3000, elapsed_ms=93157, avg_ms_per_topic=186

=== Per Message Details ===
send_ack_ms_133=156, topic_create_ms=0
send_ack_ms_134=146, topic_create_ms=0
send_ack_ms_135=145, topic_create_ms=0
send_ack_ms_136=154, topic_create_ms=0
send_ack_ms_137=151, topic_create_ms=0
send_ack_ms_138=153, topic_create_ms=0
send_ack_ms_139=160, topic_create_ms=0
send_ack_ms_140=156, topic_create_ms=0
send_ack_ms_141=158, topic_create_ms=0
send_ack_ms_142=156, topic_create_ms=0
send_ack_ms_143=167, topic_create_ms=0
send_ack_ms_144=150, topic_create_ms=0
send_ack_ms_145=163, topic_create_ms=0
send_ack_ms_146=165, topic_create_ms=0
send_ack_ms_147=160, topic_create_ms=0
send_ack_ms_148=160, topic_create_ms=0
send_ack_ms_149=148, topic_create_ms=0
send_ack_ms_150=160, topic_create_ms=0
send_ack_ms_151=157, topic_create_ms=0
send_ack_ms_152=160, topic_create_ms=0
send_ack_ms_153=186, topic_create_ms=0
send_ack_ms_154=153, topic_create_ms=0
send_ack_ms_155=156, topic_create_ms=0
send_ack_ms_156=138, topic_create_ms=0
send_ack_ms_157=150, topic_create_ms=0
send_ack_ms_158=160, topic_create_ms=0
send_ack_ms_159=155, topic_create_ms=0
send_ack_ms_160=162, topic_create_ms=0
send_ack_ms_161=166, topic_create_ms=0
send_ack_ms_162=160, topic_create_ms=0
send_ack_ms_163=154, topic_create_ms=0
send_ack_ms_164=149, topic_create_ms=0
send_ack_ms_165=153, topic_create_ms=0
send_ack_ms_166=142, topic_create_ms=0
send_ack_ms_167=143, topic_create_ms=0
send_ack_ms_168=149, topic_create_ms=0
send_ack_ms_169=154, topic_create_ms=0
send_ack_ms_170=163, topic_create_ms=0
send_ack_ms_171=154, topic_create_ms=0
send_ack_ms_172=156, topic_create_ms=0
send_ack_ms_173=161, topic_create_ms=0
send_ack_ms_174=158, topic_create_ms=0
send_ack_ms_175=139, topic_create_ms=0
send_ack_ms_176=162, topic_create_ms=0
send_ack_ms_177=154, topic_create_ms=0
send_ack_ms_178=157, topic_create_ms=0
send_ack_ms_179=184, topic_create_ms=0
send_ack_ms_180=157, topic_create_ms=0
send_ack_ms_181=149, topic_create_ms=0
send_ack_ms_182=154, topic_create_ms=0
send_ack_ms_183=150, topic_create_ms=0
send_ack_ms_184=168, topic_create_ms=0
send_ack_ms_185=159, topic_create_ms=0
send_ack_ms_186=163, topic_create_ms=0
send_ack_ms_187=166, topic_create_ms=0
send_ack_ms_188=162, topic_create_ms=0
send_ack_ms_189=135, topic_create_ms=0
send_ack_ms_190=163, topic_create_ms=0
send_ack_ms_191=150, topic_create_ms=0
send_ack_ms_192=156, topic_create_ms=0
send_ack_ms_193=162, topic_create_ms=0
send_ack_ms_194=155, topic_create_ms=0
send_ack_ms_195=164, topic_create_ms=0
send_ack_ms_196=219, topic_create_ms=0
send_ack_ms_197=295, topic_create_ms=0
send_ack_ms_198=293, topic_create_ms=0
send_ack_ms_199=292, topic_create_ms=0
send_ack_ms_200=213, topic_create_ms=0
send_ack_ms_201=195, topic_create_ms=0
send_ack_ms_202=154, topic_create_ms=0
send_ack_ms_203=152, topic_create_ms=0
send_ack_ms_204=151, topic_create_ms=0
send_ack_ms_205=148, topic_create_ms=0
send_ack_ms_206=156, topic_create_ms=0
send_ack_ms_207=144, topic_create_ms=0
send_ack_ms_208=164, topic_create_ms=0
send_ack_ms_209=164, topic_create_ms=0
